날짜,종목명,티커,기준모델,AI예측,확신도,핫키워드,뉴스판정,뉴스요약,뉴스출처,패턴판정,차트판정,핵심사유,뉴스수집성공,뉴스수집오류,비교모델,비교AI예측,비교확신도,비교핫키워드,비교뉴스판정,비교뉴스요약,비교뉴스출처,비교패턴판정,비교차트판정,비교핵심사유,비교뉴스수집성공,비교뉴스수집오류,종합예측,종합점수,대표뉴스키워드,대표뉴스요약,대표뉴스판정,대표뉴스모델,대표뉴스점수,모델일치도,뉴스중요도,종합사유
2026-04-19,AAPL,AAPL,,▲ 상승,88,중국 아이폰 판매량 및 애널리스트 상향,실질 호재,"애플의 2026년 1분기 중국 내 아이폰 출하량이 전년 대비 20% 급증하며 시장 점유율을 확대했고, 소시에테 제네랄 및 BNP 파리바 등 주요 투자은행들이 주식 등급을 '중립'에서 '시장수익률 상회'로 상향 조정했습니다.","gurufocus.com, quiverquant.com, nai500.com",유사패턴 강세,강세,"현재가가 20일선과 60일선을 모두 상회하며 강한 상승 모멘텀을 보이는 가운데, 중국 내 아이폰 판매량 급증과 투자은행들의 목표주가 상향이 실질적인 호재로 작용하여 단기 상승 가능성이 높다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,GOOGL,GOOGL,,▲ 상승,88,AI 및 클라우드 성장,실질 호재,"Alphabet은 Google Cloud와 광고 부문의 견고한 성장에 힘입어 2026년 1분기 강력한 실적을 기록할 것으로 전망되며, AI 인프라에 대한 대규모 투자와 Gemini 모델 확장으로 AI 리더십을 강화하고 있습니다. 일부 분석가들은 목표 주가를 상향 조정하며, 이러한 AI 및 클라우드 중심의 성장이 지속될 것으로 기대하고 있습니다.","tipranks.com, gurufocus.com, seekingalpha.com",유사패턴 강세,강세,"Alphabet은 AI 및 클라우드 부문의 견조한 성장과 긍정적인 1분기 실적 전망에 힘입어 강력한 호재를 보이며, 현재가가 주요 이동평균선을 상회하며 단기 강한 상승 모멘텀을 형성하고 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,삼진제약,000520,,▲ 상승,80,월드클래스 플러스 프로젝트,실질 호재,삼진제약이 혁신 신약 및 ADC 플랫폼 기술 개발을 위해 산업통상자원부의 '월드클래스 플러스 프로젝트'에 선정되어 정부 R&D 지원을 받게 되었다.,daum.net,유사패턴 강세,혼조,정부 R&D 지원을 통한 혁신 신약 개발 호재와 과거 신약 관련 이슈 시 상승 패턴이 혼조세인 차트 저항을 돌파할 강력한 모멘텀으로 작용할 전망이다.,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,케이뱅크,272210,,▼ 하락,80,수익성 둔화,실질 악재,"케이뱅크는 코스피 상장 후 한 달여 만에 공모가 대비 약 24% 하락했으며, 수익성 둔화와 대규모 보호예수 물량 출회 우려 속 최근 희망퇴직을 실시해 구조적 난관에 직면했음을 시사했다.","newsfield.net, dealsitetv.com, newstopkorea.com",유사패턴 혼조,혼조,"케이뱅크는 코스피 상장 후 수익성 둔화 및 보호예수 물량 출회 우려 등의 실질 악재로 주가가 하락세를 보이고 있으며, 이는 기술적 지표의 약한 강세 신호를 압도할 것으로 예상된다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,리얼티인컴,O,,▲ 상승,78,리얼티인컴,실질 호재,"리얼티인컴은 2025년 견조한 실적을 달성했으며, 2026년 80억 달러의 투자 목표와 함께 AFFO 성장을 가이던스하고 670번째 월 배당 지급 및 134번째 배당금 인상을 발표하며 견고한 성장과 주주 환원을 이어가고 있습니다. 또한, GIC 및 Apollo와의 전략적 파트너십을 통해 글로벌 확장 및 자본 조달 능력을 강화하고 있습니다.","prnewswire.com, biggo.com, seekingalpha.com",유사패턴 강세,혼조,"견조한 실적, 성장 가이던스, 지속적인 배당 증액, 글로벌 파트너십 등 강력한 호재성 뉴스와 과거 패턴의 상승 우세가 단기 상승 모멘텀을 제공하며, 현재가가 이평선을 상회하여 상승 시도를 보입니다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,포스코DX,022100,,▲ 상승,78,AI,실질 호재,"포스코DX는 최근 국내 NPU 개발사인 모빌린트에 30억 원, 로봇 자동화 기업 브릴스에 70억 원을 투자하며 AI 및 로봇 기반 스마트팩토리 사업 역량 강화에 박차를 가하고 있다. 또한 미국 휴머노이드 로봇 기업 페르소나 AI와 MOU를 체결하는 등 산업 현장의 인텔리전트 팩토리 구현을 위한 투자를 확대하고 있다.","poscodx.com, techinasia.com",유사패턴 강세,혼조,"AI/로봇 신사업에 대한 실질적 투자 호재와 과거 상승 패턴이 긍정적이며, 차트는 역배열 속에서도 단기 이동평균선을 상회하며 회복을 시도하고 있어 상승 가능성이 우세하다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19,카카오,035720,,▲ 상승,65,1분기 실적,실질 호재,"카카오는 톡비즈 광고 및 커머스 매출 증대와 사업 구조조정 효과로 2026년 1분기 영업이익이 전년 대비 70% 이상 증가할 것으로 전망되지만, AI 사업 수익화 불확실성으로 주가 반영은 제한적이다.","einfomax.co.kr, inews24.com, daum.net",유사패턴 강세,혼조,"1분기 실적 개선 전망과 과거 패턴의 상승 우세가 긍정적이나, 차트의 역배열과 AI 수익화 지연에 따른 주가 반영 제한 우려가 단기 상승 폭을 제한할 수 있다.",,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,삼성전자,005930,gemini-2.5-flash,▲ 상승,90,어닝 서프라이즈,실질 호재,삼성전자는 2026년 1분기 반도체 슈퍼사이클과 고대역폭메모리(HBM) 수요 증가에 힘입어 시장 전망치를 크게 웃도는 57.2조 원의 영업이익을 달성하며 역대급 실적을 기록했다.,"youtube.com, daum.net, tistory.com",유사패턴 강세,강세,"삼성전자는 1분기 어닝 서프라이즈로 역대급 실적을 달성하며 강력한 호재를 반영했고, 현재 차트 또한 정배열로 모든 이동평균선을 상회하여 단기 상승 추세가 뚜렷합니다.",,,gemini-3-flash-preview,▲ 상승,92.0,HBM4 엔비디아 공급,실질 호재,삼성전자가 주요 고객사인 엔비디아에 차세대 고대역폭메모리(HBM4) 공급을 위한 최종 품질 테스트를 통과하고 본격적인 양산에 돌입했습니다. 이번 대규모 공급 계약을 통해 AI 반도체 시장 점유율 확대와 수익성 개선이 본격화될 것으로 전망됩니다.,출처 없음,유사패턴 강세,강세,기술적 정배열 추세와 엔비디아향 HBM4 양산이라는 강력한 실질 호재가 결합되어 단기 조정 후 추가 상승 가능성이 매우 높음,,,▲ 상승,94.0,,,,,,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-20,NVDA,NVDA,gemini-2.5-flash,━ 관망,65,게이밍 GPU 생산 중단,실질 악재,"엔비디아가 30년 만에 처음으로 2026년에 새로운 지포스 GPU 라인업을 출시하지 않으며, 고수익 AI 칩 사업에 집중하기 위해 게이밍 부문에서의 전략적 전환을 공식화했다.","mitrade.com, cryptopolitan.com",유사패턴 강세,혼조,현재가가 이평선을 상회하며 단기 강세를 보이나 이평선 역배열 및 게이밍 GPU 생산 중단 악재가 과거 유사 패턴의 상승 예측과 상충하여 단기 방향성이 혼조세이다.,,,gemini-3-flash-preview,━ 관망,62.0,AI 수요 둔화 우려,실질 악재,파트너사인 슈퍼마이크로컴퓨터의 실적 가이드라인 미발표로 인해 AI 수요 둔화 우려가 확산되며 엔비디아 주가가 하루 만에 10% 급락했습니다. 금리 인하 지연 가능성과 지정학적 리스크 등 매크로 악재가 겹치며 반도체 섹터 전반에 강한 매도세가 나타났습니다.,출처 없음,유사패턴 강세,혼조,이평선 상회 및 과거 패턴의 상승 우세에도 불구하고 파트너사발 실질적 악재와 역배열 추세가 하방 압력을 가중시켜 방향성이 불분명함,,,━ 관망,76.0,,,,,,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-20,TSLA,TSLA,gemini-2.5-flash,▼ 하락,75,Q1 실적,실질 악재,"테슬라는 2026년 1분기 차량 인도량이 시장 기대치에 미치지 못하고 재고가 크게 증가하여 수요 둔화 우려를 키웠으며, 이는 연초 이후 주가 하락의 주요 원인으로 작용했다.","gurufocus.com, seekingalpha.com, tradingkey.com",유사패턴 강세,혼조,"테슬라의 1분기 차량 인도량 부진과 재고 증가가 실질적인 악재로 작용하며 단기 상승 모멘텀을 상쇄하고 있으며, 역배열 이평선은 장기적인 약세 추세가 지속될 수 있음을 시사한다.",,,gemini-3-flash-preview,▲ 상승,88.0,사이버캡 양산,실질 호재,"테슬라가 기가 텍사스에서 자율주행 로보택시인 '사이버캡(Cybercab)'의 공식 양산을 시작하며 차세대 모빌리티 사업을 본격화했습니다. 1분기 인도량이 예상치를 하회하며 재고 부담이 발생했으나, AI5 칩의 이정표 달성과 유럽 내 FSD 승인 확대가 주가에 긍정적인 모멘텀을 제공하고 있습니다.",출처 없음,유사패턴 강세,강세,"주가가 60일 이동평균선을 돌파하며 기술적 반등세를 굳힌 가운데, 로보택시 양산이라는 강력한 실질 호재가 과거 상승 우위 패턴과 결합되어 단기 오버슈팅 가능성이 높다.",,,━ 관망,63.0,,,,,,0.0,70.0,두 모델의 방향성이 충돌하여 종합 판단을 보수적으로 반영함
2026-04-20,AAPL,AAPL,gemini-2.5-flash,▲ 상승,85,아이폰 중국 출하량,실질 호재,"애플은 2026년 1분기 중국 아이폰 출하량이 20% 급증하며 시장점유율을 확대했고, 이에 따라 다수의 증권사들이 목표주가를 최대 325~350달러로 상향 조정하며 긍정적인 전망을 내놓았다.","quiverquant.com, thestreet.com, marketwise.com",유사패턴 강세,강세,"중국 아이폰 판매량 호조와 다수의 목표주가 상향 조정이 강력한 실질 호재로 작용하며, 주가가 이동평균선 상단을 돌파하는 강한 상승 모멘텀을 형성하고 있다.",,,gemini-3-flash-preview,▲ 상승,88.0,M5 AI 칩 양산,실질 호재,애플이 자체 설계한 데이터센터용 AI 프로세서 'M5' 시리즈의 본격 양산에 돌입하며 클라우드 인프라 자립도를 확보했다. 이를 통해 엔비디아 등 외부 칩 의존도를 낮추고 서비스 부문의 수익 구조를 실질적으로 개선할 것으로 전망된다.,출처 없음,유사패턴 강세,강세,자체 AI 칩 양산이라는 실질적인 펀더멘털 개선 뉴스에 힘입어 주가가 주요 이평선을 모두 상향 돌파하며 단기 상승 모멘텀을 확보한 상태다.,,,▲ 상승,91.0,,,,,,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
2026-04-20,GOOGL,GOOGL,gemini-2.5-flash,▲ 상승,90,AI 성장 및 클라우드 실적,실질 호재,"Alphabet은 AI 기반 검색 및 클라우드 부문에서 긍정적인 성장을 보이며, Gemini의 사용자 7억 5천만 명 돌파와 애널리스트들의 목표주가 상향 조정으로 실적 개선에 대한 긍정적인 평가를 받고 있다. 이러한 AI 동력은 단기적인 대규모 인프라 투자 비용 부담에도 불구하고 매출 성장을 견인할 것으로 예상된다.","zacks.com, marketbeat.com, watcher.guru",유사패턴 강세,강세,AI 기반 검색 및 클라우드 부문의 긍정적인 실적과 목표주가 상향 조정 소식이 강한 차트 상승 모멘텀 및 과거 유사 패턴과 일치하여 단기 상승이 예상됩니다.,,,gemini-3-flash-preview,▲ 상승,85.0,AI 인프라 수익성,실질 호재,알파벳은 최신 AI 모델 '제미나이(Gemini)'를 클라우드 및 검색 엔진에 성공적으로 통합하며 기업향 서비스 매출이 전년 대비 크게 성장했습니다. 특히 AI 인프라 효율화에 따른 클라우드 부문의 영업이익률 개선이 실질적인 실적 상승으로 이어지고 있습니다.,출처 없음,유사패턴 강세,강세,"주가가 20일 및 60일 이평선을 모두 상회하며 단기 돌파 구간에 진입했고, 실질적인 AI 수익성 개선이라는 펀더멘털 호재가 과거 상승 패턴과 일치하여 추가 상승 가능성이 높다.",,,▲ 상승,92.0,,,,,,100.0,100.0,두 모델의 방향성이 일치하여 종합 신뢰도를 높게 반영함
